Date,Close,High,Low,Open,Volume
23/01/2024,209.13999938964844,215.64999389648438,207.75,211.3000030517578,106605900
24/01/2024,207.8300018310547,212.72999572753906,206.77000427246094,211.8800048828125,123369900
25/01/2024,182.6300048828125,193,180.05999755859375,189.6999969482422,198076800
26/01/2024,183.25,186.77999877929688,182.10000610351562,185.5,107343200
29/01/2024,190.92999267578125,191.47999572753906,183.6699981689453,185.6300048828125,125013100
30/01/2024,191.58999633789062,196.36000061035156,190.61000061035156,195.3300018310547,109982300
31/01/2024,187.2899932861328,193.97000122070312,185.85000610351562,187,103221400
01/02/2024,188.86000061035156,189.8800048828125,184.27999877929688,188.5,91843300
02/02/2024,187.91000366210938,188.69000244140625,182,185.0399932861328,110505100
05/02/2024,181.05999755859375,184.67999267578125,175.00999450683594,184.25999450683594,134294400
06/02/2024,185.10000610351562,186.49000549316406,177.11000061035156,177.2100067138672,122676000
07/02/2024,187.5800018310547,189.7899932861328,182.67999267578125,188.17999267578125,111535200
08/02/2024,189.55999755859375,191.6199951171875,185.5800018310547,189,83034000
09/02/2024,193.57000732421875,194.1199951171875,189.47999572753906,190.17999267578125,84476300
12/02/2024,188.1300048828125,194.72999572753906,187.27999877929688,192.11000061035156,95498600
13/02/2024,184.02000427246094,187.25999450683594,182.11000061035156,183.99000549316406,86759500
14/02/2024,188.7100067138672,188.88999938964844,183.35000610351562,185.3000030517578,81203000
15/02/2024,200.4499969482422,200.8800048828125,188.86000061035156,189.16000366210938,120831800
16/02/2024,199.9499969482422,203.1699981689453,197.39999389648438,202.05999755859375,111173600
20/02/2024,193.75999450683594,198.60000610351562,189.1300048828125,196.1300048828125,104545800
21/02/2024,194.77000427246094,199.44000244140625,191.9499969482422,193.36000061035156,103844000
22/02/2024,197.41000366210938,198.32000732421875,191.36000061035156,194,92739500
23/02/2024,191.97000122070312,197.57000732421875,191.5,195.30999755859375,78841900
26/02/2024,199.39999389648438,201.77999877929688,192,192.2899932861328,111747100
27/02/2024,199.72999572753906,205.60000610351562,198.25999450683594,204.0399932861328,108645400
28/02/2024,202.0399932861328,205.3000030517578,198.44000244140625,200.4199981689453,99806200
29/02/2024,201.8800048828125,205.27999877929688,198.4499969482422,204.17999267578125,85907000
01/03/2024,202.63999938964844,204.52000427246094,198.5,200.52000427246094,82099200
04/03/2024,188.13999938964844,199.75,186.72000122070312,198.72999572753906,134334900
05/03/2024,180.74000549316406,184.58999633789062,177.57000732421875,183.0500030517578,119660800
06/03/2024,176.5399932861328,181.5800018310547,173.6999969482422,179.99000549316406,107920900
07/03/2024,178.64999389648438,180.0399932861328,173.6999969482422,174.35000610351562,102129000
08/03/2024,175.33999633789062,182.72999572753906,174.6999969482422,181.5,85315300
11/03/2024,177.77000427246094,182.8699951171875,174.8000030517578,175.4499969482422,85391500
12/03/2024,177.5399932861328,179.42999267578125,172.41000366210938,177.77000427246094,87391700
13/03/2024,169.47999572753906,176.0500030517578,169.14999389648438,173.0500030517578,106524500
14/03/2024,162.5,171.1699981689453,160.50999450683594,167.77000427246094,126325700
15/03/2024,163.57000732421875,165.17999267578125,160.75999450683594,163.16000366210938,96971900
18/03/2024,173.8000030517578,174.72000122070312,165.89999389648438,170.02000427246094,108214400
19/03/2024,171.32000732421875,172.82000732421875,167.4199981689453,172.36000061035156,77271400
20/03/2024,175.66000366210938,176.25,170.82000732421875,173,83846700
21/03/2024,172.82000732421875,178.17999267578125,171.8000030517578,176.38999938964844,73178000
22/03/2024,170.8300018310547,171.1999969482422,166.3000030517578,166.69000244140625,75454700
25/03/2024,172.6300048828125,175.24000549316406,168.72999572753906,168.75999450683594,74228600
26/03/2024,177.6699981689453,184.25,177.3800048828125,178.5800018310547,113186200
27/03/2024,179.8300018310547,181.91000366210938,176,181.41000366210938,81804000
28/03/2024,175.7899932861328,179.57000732421875,175.3000030517578,177.4499969482422,77654800
01/04/2024,175.22000122070312,176.75,170.2100067138672,176.1699981689453,81562100
02/04/2024,166.6300048828125,167.69000244140625,163.42999267578125,164.75,116650600
03/04/2024,168.3800048828125,168.82000732421875,163.27999877929688,164.02000427246094,82950100
04/04/2024,171.11000061035156,177.19000244140625,168.00999450683594,170.07000732421875,123162000
05/04/2024,164.89999389648438,170.86000061035156,160.50999450683594,169.0800018310547,141250700
08/04/2024,172.97999572753906,174.5,167.7899932861328,169.33999633789062,104423300
09/04/2024,176.8800048828125,179.22000122070312,171.9199981689453,172.91000366210938,103232700
10/04/2024,171.75999450683594,174.92999267578125,170.00999450683594,173.0399932861328,84532400
11/04/2024,174.60000610351562,175.8800048828125,168.50999450683594,172.5500030517578,94516000
12/04/2024,171.0500030517578,173.80999755859375,170.36000061035156,172.33999633789062,64506600
15/04/2024,161.47999572753906,170.69000244140625,161.3800048828125,170.24000549316406,100245300
16/04/2024,157.11000061035156,158.19000244140625,153.75,156.74000549316406,97000000
17/04/2024,155.4499969482422,158.3300018310547,153.77999877929688,157.63999938964844,82439700
18/04/2024,149.92999267578125,152.1999969482422,148.6999969482422,151.25,96098800
19/04/2024,147.0500030517578,150.94000244140625,146.22000122070312,148.97000122070312,86005100
22/04/2024,142.0500030517578,144.44000244140625,138.8000030517578,140.55999755859375,107097600
23/04/2024,144.67999267578125,147.25999450683594,141.11000061035156,143.3300018310547,124545100
24/04/2024,162.1300048828125,167.97000122070312,157.50999450683594,162.83999633789062,181178000
25/04/2024,170.17999267578125,170.8800048828125,158.36000061035156,158.9600067138672,126427500
26/04/2024,168.2899932861328,172.1199951171875,166.3699951171875,168.85000610351562,109815700
29/04/2024,194.0500030517578,198.8699951171875,184.5399932861328,188.4199981689453,243869700
30/04/2024,183.27999877929688,190.9499969482422,182.83999633789062,186.97999572753906,127031800
01/05/2024,179.99000549316406,185.86000061035156,179.00999450683594,182,92829700
02/05/2024,180.00999450683594,184.60000610351562,176.02000427246094,182.86000061035156,89148000
03/05/2024,181.19000244140625,184.77999877929688,178.4199981689453,182.10000610351562,75491500
06/05/2024,184.75999450683594,187.55999755859375,182.1999969482422,183.8000030517578,84390300
07/05/2024,177.80999755859375,183.25999450683594,177.39999389648438,182.39999389648438,75045900
08/05/2024,174.72000122070312,176.05999755859375,170.14999389648438,171.58999633789062,79969500
09/05/2024,171.97000122070312,175.6199951171875,171.3699951171875,175.00999450683594,65950300
10/05/2024,168.47000122070312,173.05999755859375,167.75,173.0500030517578,72627200
13/05/2024,171.88999938964844,175.39999389648438,169,170,67018900
14/05/2024,177.5500030517578,179.49000549316406,174.07000732421875,174.5,86407400
15/05/2024,173.99000549316406,180,173.11000061035156,179.89999389648438,79663000
16/05/2024,174.83999633789062,175.7899932861328,171.42999267578125,174.10000610351562,59812200
17/05/2024,177.4600067138672,179.6300048828125,172.75,173.5500030517578,77445800
20/05/2024,174.9499969482422,177.75,173.52000427246094,177.55999755859375,61727400
21/05/2024,186.60000610351562,186.8800048828125,174.7100067138672,175.50999450683594,115266500
22/05/2024,180.11000061035156,183.8000030517578,178.1199951171875,182.85000610351562,88313500
23/05/2024,173.74000549316406,181.89999389648438,173.25999450683594,181.8000030517578,71975500
24/05/2024,179.24000549316406,180.0800018310547,173.72999572753906,174.83999633789062,65479700
28/05/2024,176.75,178.25,173.16000366210938,176.39999389648438,59736600
29/05/2024,176.19000244140625,178.14999389648438,173.92999267578125,174.19000244140625,54782600
30/05/2024,178.7899932861328,182.6699981689453,175.3800048828125,178.5800018310547,77784800
31/05/2024,178.0800018310547,180.32000732421875,173.82000732421875,178.5,67314600
03/06/2024,176.2899932861328,182.63999938964844,174.49000549316406,178.1300048828125,68568900
04/06/2024,174.77000427246094,177.75999450683594,174,174.77999877929688,60056300
05/06/2024,175,176.14999389648438,172.1300048828125,175.35000610351562,57953800
06/06/2024,177.94000244140625,179.72999572753906,172.72999572753906,174.60000610351562,69887000
07/06/2024,177.47999572753906,179.35000610351562,175.5800018310547,176.1300048828125,56244900
10/06/2024,173.7899932861328,178.57000732421875,173.1699981689453,176.05999755859375,50869700
11/06/2024,170.66000366210938,174.75,167.41000366210938,173.9199981689453,64761900
12/06/2024,177.2899932861328,180.5500030517578,169.8000030517578,171.1199951171875,90389400
13/06/2024,182.47000122070312,191.0800018310547,181.22999572753906,188.38999938964844,118984100
14/06/2024,178.00999450683594,186,176.9199981689453,185.8000030517578,82038200
17/06/2024,187.44000244140625,188.80999755859375,177,177.9199981689453,109786100
18/06/2024,184.86000061035156,187.1999969482422,182.3699951171875,186.55999755859375,68982300
20/06/2024,181.57000732421875,185.2100067138672,179.66000366210938,184.67999267578125,55893100
21/06/2024,183.00999450683594,183.9499969482422,180.69000244140625,182.3000030517578,63029500
24/06/2024,182.5800018310547,188.8000030517578,182.5500030517578,184.97000122070312,61992100
25/06/2024,187.35000610351562,187.97000122070312,182.00999450683594,184.39999389648438,63678300
26/06/2024,196.3699951171875,197.75999450683594,186.36000061035156,186.5399932861328,95737100
27/06/2024,197.4199981689453,198.72000122070312,194.0500030517578,195.1699981689453,72746500
28/06/2024,197.8800048828125,203.1999969482422,195.25999450683594,199.5500030517578,95438100
01/07/2024,209.86000061035156,213.22999572753906,200.85000610351562,201.02000427246094,135691400
02/07/2024,231.25999450683594,231.3000030517578,218.05999755859375,218.88999938964844,205047900
03/07/2024,246.38999938964844,248.35000610351562,234.25,234.55999755859375,166561500
05/07/2024,251.52000427246094,252.3699951171875,242.4600067138672,249.80999755859375,154501200
08/07/2024,252.94000244140625,259.44000244140625,244.57000732421875,247.7100067138672,157219600
09/07/2024,262.3299865722656,265.6099853515625,250.3000030517578,251,160210900
10/07/2024,263.2600098,267.5899963378906,257.8599853515625,262.79998779296875,128519400
11/07/2024,241.02999877929688,271,239.64999389648438,263.29998779296875,221707300
12/07/2024,248.22999572753906,251.83999633789062,233.08999633789062,235.8000030517578,155955800
15/07/2024,252.63999938964844,265.6000061035156,251.72999572753906,255.97000122070312,146912900
16/07/2024,256.55999755859375,258.6199951171875,245.8000030517578,255.30999755859375,126332500
17/07/2024,248.5,258.4700012207031,246.17999267578125,252.72999572753906,115584800
18/07/2024,249.22999572753906,257.1400146484375,247.1999969482422,251.08999633789062,110869000
19/07/2024,239.1999969482422,249.44000244140625,236.8300018310547,247.7899932861328,87403900
22/07/2024,251.50999450683594,253.2100067138672,243.75,244.2100067138672,101225400
23/07/2024,246.3800048828125,255.75999450683594,245.6300048828125,253.60000610351562,111928200
24/07/2024,215.99000549316406,225.99000549316406,214.7100067138672,225.4199981689453,167942900
25/07/2024,220.25,226,216.22999572753906,216.8000030517578,100636500
26/07/2024,219.8000030517578,222.27999877929688,215.3300018310547,221.19000244140625,94604100
29/07/2024,232.10000610351562,234.27000427246094,224.6999969482422,224.89999389648438,129201800
30/07/2024,222.6199951171875,232.41000366210938,220,232.25,100560300
31/07/2024,232.07000732421875,234.67999267578125,226.7899932861328,227.89999389648438,67497000
01/08/2024,216.86000061035156,231.8699951171875,214.3300018310547,227.69000244140625,83861900
02/08/2024,207.6699981689453,216.1300048828125,205.77999877929688,214.8800048828125,82880100
05/08/2024,198.8800048828125,203.8800048828125,182,185.22000122070312,100308800
06/08/2024,200.63999938964844,202.89999389648438,192.6699981689453,200.75,73783900
07/08/2024,191.75999450683594,203.49000549316406,191.47999572753906,200.77000427246094,71159800
08/08/2024,198.83999633789062,200.6999969482422,192.0399932861328,195.6999969482422,65033900
09/08/2024,200,200.8800048828125,195.11000061035156,197.0500030517578,58648300
12/08/2024,197.49000549316406,199.25999450683594,194.6699981689453,199.02000427246094,64044900
13/08/2024,207.8300018310547,208.49000549316406,197.05999755859375,198.47000122070312,76247400
14/08/2024,201.3800048828125,208.44000244140625,198.75,207.38999938964844,70250000
15/08/2024,214.13999938964844,215.8800048828125,204.82000732421875,205.02000427246094,89848500
16/08/2024,216.1199951171875,219.8000030517578,210.8000030517578,211.14999389648438,88765100
19/08/2024,222.72000122070312,222.97999572753906,214.08999633789062,217.07000732421875,76435200
20/08/2024,221.10000610351562,228.22000122070312,219.55999755859375,224.8800048828125,74001200
21/08/2024,223.27000427246094,224.66000366210938,218.86000061035156,222.6699981689453,70146000
22/08/2024,210.66000366210938,224.8000030517578,210.32000732421875,223.82000732421875,79514500
23/08/2024,220.32000732421875,221.47999572753906,214.2100067138672,214.4600067138672,81525200
26/08/2024,213.2100067138672,219.08999633789062,211.00999450683594,218.75,59301200
27/08/2024,209.2100067138672,215.66000366210938,206.94000244140625,213.25,62821400
28/08/2024,205.75,211.83999633789062,202.58999633789062,209.72000122070312,64116400
29/08/2024,206.27999877929688,214.88999938964844,205.97000122070312,209.8000030517578,62308800
30/08/2024,214.11000061035156,214.57000732421875,207.02999877929688,208.6300048828125,63370600
03/09/2024,210.60000610351562,219.89999389648438,209.63999938964844,215.25999450683594,76714200
